1761,C,FREEZE,,#CH4,,,,1.0,0,0,,,
1762,CO,FREEZE,,#CO,,,,1,0,0,,,
1763,H2CO,FREEZE,,#H2CO,,,,1,0,0,,,
1764,C2,FREEZE,,#C2,,,,1,0,0,,,
1765,CH,FREEZE,,#CH4,,,,1,0,0,,,
1766,OH,FREEZE,,#H2O,,,,1.0,0,0,,,
1767,NO,FREEZE,,#NO,,,,1,0,0,,,
1768,CH2,FREEZE,,#CH4,,,,1,0,0,,,
1769,H2O,FREEZE,,#H2O,,,,1,0,0,,,
1770,CO2,FREEZE,,#CO2,,,,1,0,0,,,
1771,CH3,FREEZE,,#CH4,,,,1.0,0,0,,,
1772,CH4,FREEZE,,#CH4,,,,1,0,0,,,
1773,HCO,FREEZE,,#H2CO,,,,1.0,0,0,,,
1774,N2,FREEZE,,#N2,,,,1,0,0,,,
1775,CN,FREEZE,,#HCN,,,,1,0,0,,,
1776,C+,FREEZE,,#CH4,,,,1,1,0,,,
1777,NH,FREEZE,,#NH3,,,,1,0,0,,,
1778,HCN,FREEZE,,#HCN,,,,1,0,0,,,
1779,C2H,FREEZE,,#C2H,,,,1,0,0,,,
1780,NH3,FREEZE,,#NH3,,,,1,0,0,,,
1781,N+,FREEZE,,#NH3,,,,1,1,0,,,
1782,O+,FREEZE,,#H2O,,,,1,1,0,,,
1783,C2+,FREEZE,,#C2,,,,1,1,0,,,
1784,O2+,FREEZE,,#O2,,,,1,1,0,,,
1785,N2+,FREEZE,,#N2,,,,1,1,0,,,
1786,CH+,FREEZE,,#CH4,,,,1,1,0,,,
1787,NH+,FREEZE,,#NH3,,,,1,1,0,,,
1788,OH+,FREEZE,,#H2O,,,,1.0,1,0,,,
1789,CO+,FREEZE,,#CO,,,,1,1,0,,,
1790,CN+,FREEZE,,#HCN,,,,1,1,0,,,
1791,NO+,FREEZE,,#NO,,,,1,1,0,,,
1792,CH2+,FREEZE,,#CH4,,,,1,1,0,,,
1793,NH2+,FREEZE,,#NH3,,,,1,1,0,,,
1794,H2O+,FREEZE,,#H2O,,,,1,1,0,,,
1795,HCO+,FREEZE,,#H2CO,,,,1.0,1,0,,,
1796,HCN+,FREEZE,,#HCN,,,,1,1,0,,,
1797,C2H+,FREEZE,,#C2H,,,,1,1,0,,,
1798,NH3+,FREEZE,,#NH3,,,,1,1,0,,,
1799,H2CO+,FREEZE,,#H2CO,,,,1,1,0,,,
1800,CH3+,FREEZE,,#CH4,,,,1.0,1,0,,,
1801,H3O+,FREEZE,,#H2O,H,,,1,1,0,,,
1802,HCO2+,FREEZE,,#CO2,H,,,1,1,0,,,
1803,CH5+,FREEZE,,#CH4,H,,,1,1,0,,,
1804,CH4+,FREEZE,,#CH4,,,,1,1,0,,,
1805,NH2,FREEZE,,#NH3,,,,1,0,0,,,
1806,N,FREEZE,,#NH3,,,,1,0,0,,,
1807,O,FREEZE,,#H2O,,,,1.0,0,0,,,
1808,O2,FREEZE,,#O2,,,,1,0,0,,,
1809,HS,FREEZE,,#H2S,,,,1,0,0,,,
1810,CS,FREEZE,,#H2CS,,,,1,0,0,,,
1811,SO,FREEZE,,#SO,,,,1,0,0,,,
1812,H2S,FREEZE,,#H2S,,,,1,0,0,,,
1813,HCS,FREEZE,,#H2CS,,,,1,0,0,,,
1814,OCS,FREEZE,,#OCS,,,,1,0,0,,,
1815,SO2,FREEZE,,#SO2,,,,1,0,0,,,
1816,S,FREEZE,,#H2S,,,,1,0,0,,,
1817,NS,FREEZE,,#NS,,,,1,0,0,,,
1818,H2CS,FREEZE,,#H2CS,,,,1,0,0,,,
1819,S+,FREEZE,,#H2S,,,,1,1,0,,,
1820,HS+,FREEZE,,#H2S,,,,1,1,0,,,
1821,CS+,FREEZE,,#H2CS,,,,1,1,0,,,
1822,SO+,FREEZE,,#SO,,,,1,1,0,,,
1823,HCS+,FREEZE,,#H2CS,,,,1,1,0,,,
1826,OCS+,FREEZE,,#OCS,,,,1,1,0,,,
1827,NO2,FREEZE,,#NO2,,,,1,0,0,,,
1829,HNO,FREEZE,,#HNO,,,,1,0,0,,,
1830,HNO+,FREEZE,,#HNO,,,,1,1,0,,,
1831,H2NO+,FREEZE,,#HNO,H,,,1,1,0,,,
1832,O2H+,FREEZE,,#O2H,,,,1,1,0,,,
1834,H2CN,FREEZE,,#H2CN,,,,1,0,0,,,
1835,NS+,FREEZE,,#NS,,,,1,1,0,,,
1836,C2H2+,FREEZE,,#C2H2,,,,1,1,0,,,
1837,H3S+,FREEZE,,#H2S,H,,,1,1,0,,,
1838,H2CS+,FREEZE,,#H2CS,,,,1,1,0,,,
1839,H2S2+,FREEZE,,#H2S2,,,,1,1,0,,,
1842,S2+,FREEZE,,#H2S2,,,,1,1,0,,,
1843,H3CS+,FREEZE,,#H2CS,H,,,1,1,0,,,
1844,HSO+,FREEZE,,#SO,H,,,1,1,0,,,
1845,SO2+,FREEZE,,#SO2,,,,1,1,0,,,
1846,HOCS+,FREEZE,,#OCS,H,,,1,1,0,,,
1847,MG+,FREEZE,,#MG,,,,1,1,0,,,
1848,MG,FREEZE,,#MG,,,,1,0,0,,,
1849,NH4+,FREEZE,,#NH3,H,,,1,1,0,,,
1850,HCNH+,FREEZE,,#HCN,H,,,1,1,0,,,
1851,N2H+,FREEZE,,#N2,H,,,1,1,0,,,
1852,HNS+,FREEZE,,#NS,H,,,1,1,0,,,
1853,C3+,FREEZE,,#C2,C,,,1,1,0,,,
1854,H2S+,FREEZE,,#H2S,,,,1,1,0,,,
1855,O2H,FREEZE,,#O2H,,,,1,0,0,,,
1856,HSO2+,FREEZE,,#SO2,H,,,1,1,0,,,
1857,CO,FREEZE,,#CH3OH,,,,1,0,0,,,
1858,HNC,FREEZE,,#HNC,,,,1,0,0,,,
1859,C2H2,FREEZE,,#C2H2,,,,1,0,0,,,
1860,CH3CN,FREEZE,,#CH3CN,,,,1,0,0,,,
1861,C2H4,FREEZE,,#C2H4,,,,1,0,0,,,
1862,C2H5,FREEZE,,#C2H5,,,,1,0,0,,,
1863,HC3N,FREEZE,,#HC3N,,,,1,0,0,,,
1864,C2H3,FREEZE,,#C2H3,,,,1,0,0,,,
1865,CH2CO,FREEZE,,#CH2CO,,,,1,0,0,,,
1866,C3H5+,FREEZE,,#CH3CCH,H,,,1,1,0,,,
1867,CH3CCH,FREEZE,,#CH3CCH,,,,1,0,0,,,
1868,C2H5OH,FREEZE,,#C2H5OH,,,,1,0,0,,,
1869,C2H5OH2+,FREEZE,,#C2H5OH,H,,,1,1,0,,,
1870,CH3OH2+,FREEZE,,#CH3OH,H,,,1,1,0,,,
1871,HCOOCH3,FREEZE,,#HCOOCH3,,,,1,0,0,,,
1872,CH3OH,FREEZE,,#CH3OH,,,,1,0,0,,,
1873,CH3CNH,FREEZE,,#CH3CNH,,,,1.0,0,0,,,
1874,CH3CNH+,FREEZE,,#CH3CNH,,,,1,1,0,,,
1878,HNCO,FREEZE,,#HNCO,,,,1,0,0,,,
1879,HNCO+,FREEZE,,#HNCO,,,,1,1,0,,,
1880,OCN,FREEZE,,#HNCO,,,,1,0,0,,,
1881,C2N,FREEZE,,#CH3CNH,,,,1,0,0,,,
1882,C2N+,FREEZE,,#CH3CNH,,,,1,1,0,,,
1883,C3N,FREEZE,,#HC3N,,,,1,0,0,,,
1884,C2NH+,FREEZE,,#CH3CNH,,,,1,1,0,,,
1885,C2N2+,FREEZE,,#NCCN,,,,1,0,0,,,
1885,NCCN,FREEZE,,#NCCN,,,,1,0,0,,,
1886,C4N+,FREEZE,,#C4N,,,,1,0,0,,,
1886,C4N,FREEZE,,#C4N,,,,1,0,0,,,
1887,H5C2O2+,FREEZE,,#HCOOCH3,H,,,1,0,0,,,
1888,HOC+,FREEZE,,#H2CO,,,,1,1,0,,,
1889,CO,FREEZE,,#H2CO,,,,1,0,0,,,
1890,CO,FREEZE,,#HCO,,,,1,0,0,,,
1894,HC3N,FREEZE,,#C2H5CN,,,,1,0,0,,,
1895,C2H5CN,FREEZE,,#C2H5CN,,,,1,0,0,,,
1822,SI,FREEZE,,#SIH4,,,,1,0,0,,,
1824,SIO,FREEZE,,#H2SIO,,,,1,0,0,,,
1825,SIH,FREEZE,,#SIH4,,,,1,0,0,,,
1826,SI+,FREEZE,,#SIH4,,,,1,1,0,,,
1828,SIH+,FREEZE,,#SIH4,,,,1,1,0,,,
1829,SIH2,FREEZE,,#SIH4,,,,1,0,0,,,
1830,SIH2+,FREEZE,,#SIH4,,,,1,1,0,,,
1831,SIH3,FREEZE,,#SIH4,,,,1,1,0,,,
1832,SIH3+,FREEZE,,#SIH4,,,,1,1,0,,,
1833,SIH4,FREEZE,,#SIH4,,,,1,0,0,,,
1834,SIH4+,FREEZE,,#SIH4,,,,1,1,0,,,
1835,SIC,FREEZE,,#SIC,,,,1,0,0,,,
1836,SIC2,FREEZE,,#SIC2,,,,1,0,0,,,
1837,SIC+,FREEZE,,#SIC,,,,1,1,0,,,
1838,SIC2+,FREEZE,,#SIC2,,,,1,1,0,,,
1839,SIC3,FREEZE,,#SIC3,,,,1,0,0,,,
1840,SIC3+,FREEZE,,#SIC3,,,,1,1,0,,,
1842,SIO+,FREEZE,,#H2SIO,,,,1,1,0,,,
1843,SIOH+,FREEZE,,#H2SIO,,,,1,1,0,,,
1844,SIS,FREEZE,,#SIS,,,,1,0,0,,,
1845,SIS+,FREEZE,,#SIS,,,,1,1,0,,,
1846,HSIS+,FREEZE,,#SIS,H,,,1,1,0,,,
1847,H2SIO,FREEZE,,#H2SIO,,,,1,0,0,,,
1848,SIH5+,FREEZE,,#SIH4,H,,,1,1,0,,,
1860,#CO,DESOH2,,CO,,,,1,0,960,,,
1861,#H2O,DESOH2,,H2O,,,,1,0,5770,,,
1862,#CO2,DESOH2,,CO2,,,,1,0,2690,,,
1863,#CH4,DESOH2,,CH4,,,,1,0,1080,,,
1864,#N2,DESOH2,,N2,,,,1,0,710,,,
1865,#HCN,DESOH2,,HCN,,,,1,0,4170,,,
1866,#C2H,DESOH2,,C2H,,,,1,0,1460,,,
1867,#NH3,DESOH2,,NH3,,,,1,0,3080,,,
1868,#O2,DESOH2,,O2,,,,1,0,1210,,,
1869,#CS,DESOH2,,CS,,,,1,0,2000,,,
1870,#SO,DESOH2,,SO,,,,1,0,2000,,,
1871,#H2S,DESOH2,,H2S,,,,1,0,1800,,,
1873,#OCS,DESOH2,,OCS,,,,1,0,3000,,,
1874,#SO2,DESOH2,,SO2,,,,1,0,3460,,,
1875,#NS,DESOH2,,NS,,,,1,0,2000,,,
1876,#H2CS,DESOH2,,H2CS,,,,1,0,2250,,,
1877,#MG,DESOH2,,MG,,,,1,0,5300,,,
1879,#H2CN,DESOH2,,H2CN,,,,1,0,1760,,,
1882,#O2H,DESOH2,,O2H,,,,1,0,1510,,,
1883,#NO2,DESOH2,,NO2,,,,1,0,2520,,,
1884,#HNO,DESOH2,,HNO,,,,1,0,1510,,,
1885,#CH3OH,DESOH2,,CH3OH,,,,1,0,4240,,,
1886,#HNC,DESOH2,,HNC,,,,1,0,1510,,,
1887,#HC3N,DESOH2,,HC3N,,,,1,0,2970,,,
1888,#C2H2,DESOH2,,C2H2,,,,1,0,2400,,,
1889,#CH3CN,DESOH2,,CH3CN,,,,1,0,2270,,,
1890,#C2H5,DESOH2,,C2H5,,,,1,0,2110,,,
1891,#H2CO,DESOH2,,H2CO,,,,1,0,1760,,,
1892,#C2,DESOH2,,C2,,,,1,0,1210,,,
1893,#NO,DESOH2,,NO,,,,1,0,1210,,,
1894,#CH2CO,DESOH2,,CH2CO,,,,1,0,2520,,,
1895,#C2H4,DESOH2,,C2H4,,,,1,0,2010,,,
1896,#C2H3,DESOH2,,C2H3,,,,1,0,1760,,,
1897,#CH3CCH,DESOH2,,CH3CCH,,,,1,0,2470,,,
1898,#C2H5OH,DESOH2,,C2H5OH,,,,1,0,3470,,,
1899,#CH3CNH,DESCR1,,CH3CNH,,,,1,0,3740,,,
1900,#HCOOCH3,DESCR1,,HCOOCH3,,,,1,0,2820,,,
1901,#CO,DESCR1,,CO,,,,1,0,960,,,
1902,#H2O,DESCR1,,H2O,,,,1,0,5770,,,
1903,#CO2,DESCR1,,CO2,,,,1,0,2690,,,
1904,#CH4,DESCR1,,CH4,,,,1,0,1080,,,
1905,#N2,DESCR1,,N2,,,,1,0,710,,,
1906,#HCN,DESCR1,,HCN,,,,1,0,4170,,,
1907,#C2H,DESCR1,,C2H,,,,1,0,1460,,,
1908,#NH3,DESCR1,,NH3,,,,1,0,3080,,,
1909,#O2,DESCR1,,O2,,,,1,0,1210,,,
1910,#CS,DESCR1,,CS,,,,1,0,2000,,,
1911,#SO,DESCR1,,SO,,,,1,0,2000,,,
1912,#H2S,DESCR1,,H2S,,,,1,0,1800,,,
1914,#OCS,DESCR1,,OCS,,,,1,0,3000,,,
1915,#SO2,DESCR1,,SO2,,,,1,0,3460,,,
1916,#NS,DESCR1,,NS,,,,1,0,2000,,,
1917,#H2CS,DESCR1,,H2CS,,,,1,0,2250,,,
1918,#MG,DESCR1,,MG,,,,1,0,5300,,,
1920,#H2CN,DESCR1,,H2CN,,,,1,0,1760,,,
1923,#O2H,DESCR1,,O2H,,,,1,0,1510,,,
1924,#NO2,DESCR1,,NO2,,,,1,0,2520,,,
1925,#HNO,DESCR1,,HNO,,,,1,0,1510,,,
1926,#CH3OH,DESCR1,,CH3OH,,,,1,0,4240,,,
1927,#HNC,DESCR1,,HNC,,,,1,0,1510,,,
1928,#HC3N,DESCR1,,HC3N,,,,1,0,2970,,,
1929,#C2H2,DESCR1,,C2H2,,,,1,0,2400,,,
1930,#CH3CN,DESCR1,,CH3CN,,,,1,0,2270,,,
1931,#C2H5,DESCR1,,C2H5,,,,1,0,2110,,,
1932,#H2CO,DESCR1,,H2CO,,,,1,0,1760,,,
1933,#C2,DESCR1,,C2,,,,1,0,1210,,,
1934,#NO,DESCR1,,NO,,,,1,0,1210,,,
1935,#CH2CO,DESCR1,,CH2CO,,,,1,0,2520,,,
1936,#C2H4,DESCR1,,C2H4,,,,1,0,2010,,,
1937,#C2H3,DESCR1,,C2H3,,,,1,0,1760,,,
1938,#CH3CCH,DESCR1,,CH3CCH,,,,1,0,2470,,,
1939,#C2H5OH,DESCR1,,C2H5OH,,,,1,0,3470,,,
1940,#CH3CNH,DESCR2,,CH3CNH,,,,1,0,3740,,,
1941,#HCOOCH3,DESCR2,,HCOOCH3,,,,1,0,2820,,,
1942,#CO,DESCR2,,CO,,,,1,0,960,,,
1943,#H2O,DESCR2,,H2O,,,,1,0,5770,,,
1944,#CO2,DESCR2,,CO2,,,,1,0,2690,,,
1945,#CH4,DESCR2,,CH4,,,,1,0,1080,,,
1946,#N2,DESCR2,,N2,,,,1,0,710,,,
1947,#HCN,DESCR2,,HCN,,,,1,0,4170,,,
1948,#C2H,DESCR2,,C2H,,,,1,0,1460,,,
1949,#NH3,DESCR2,,NH3,,,,1,0,3080,,,
1950,#O2,DESCR2,,O2,,,,1,0,1210,,,
1951,#CS,DESCR2,,CS,,,,1,0,2000,,,
1952,#SO,DESCR2,,SO,,,,1,0,2000,,,
1953,#H2S,DESCR2,,H2S,,,,1,0,1800,,,
1955,#OCS,DESCR2,,OCS,,,,1,0,3000,,,
1956,#SO2,DESCR2,,SO2,,,,1,0,3460,,,
1957,#NS,DESCR2,,NS,,,,1,0,2000,,,
1958,#H2CS,DESCR2,,H2CS,,,,1,0,2250,,,
1959,#MG,DESCR2,,MG,,,,1,0,5300,,,
1961,#H2CN,DESCR2,,H2CN,,,,1,0,1760,,,
1964,#O2H,DESCR2,,O2H,,,,1,0,1510,,,
1965,#NO2,DESCR2,,NO2,,,,1,0,2520,,,
1966,#HNO,DESCR2,,HNO,,,,1,0,1510,,,
1967,#CH3OH,DESCR2,,CH3OH,,,,1,0,4240,,,
1968,#HNC,DESCR2,,HNC,,,,1,0,1510,,,
1969,#HC3N,DESCR2,,HC3N,,,,1,0,2970,,,
1970,#C2H2,DESCR2,,C2H2,,,,1,0,2400,,,
1971,#CH3CN,DESCR2,,CH3CN,,,,1,0,2270,,,
1972,#C2H5,DESCR2,,C2H5,,,,1,0,2110,,,
1973,#H2CO,DESCR2,,H2CO,,,,1,0,1760,,,
1974,#C2,DESCR2,,C2,,,,1,0,1210,,,
1975,#NO,DESCR2,,NO,,,,1,0,1210,,,
1976,#CH2CO,DESCR2,,CH2CO,,,,1,0,2520,,,
1977,#C2H4,DESCR2,,C2H4,,,,1,0,2010,,,
1978,#C2H3,DESCR2,,C2H3,,,,1,0,1760,,,
1979,#CH3CCH,DESCR2,,CH3CCH,,,,1,0,2470,,,
1980,#C2H5OH,DESCR2,,C2H5OH,,,,1,0,3470,,,
1981,#CH3CNH,DEUVCR,,CH3CNH,,,,1,0,3740,,,
1982,#HCOOCH3,DEUVCR,,HCOOCH3,,,,1,0,2820,,,
1983,#CO,DEUVCR,,CO,,,,1,0,960,,,
1984,#H2O,DEUVCR,,H2O,,,,1,0,5770,,,
1985,#CO2,DEUVCR,,CO2,,,,1,0,2690,,,
1986,#CH4,DEUVCR,,CH4,,,,1,0,1080,,,
1987,#N2,DEUVCR,,N2,,,,1,0,710,,,
1988,#HCN,DEUVCR,,HCN,,,,1,0,4170,,,
1989,#C2H,DEUVCR,,C2H,,,,1,0,1460,,,
1990,#NH3,DEUVCR,,NH3,,,,1,0,3080,,,
1991,#O2,DEUVCR,,O2,,,,1,0,1210,,,
1992,#CS,DEUVCR,,CS,,,,1,0,2000,,,
1993,#SO,DEUVCR,,SO,,,,1,0,2000,,,
1994,#H2S,DEUVCR,,H2S,,,,1,0,1800,,,
1996,#OCS,DEUVCR,,OCS,,,,1,0,3000,,,
1997,#SO2,DEUVCR,,SO2,,,,1,0,3460,,,
1998,#NS,DEUVCR,,NS,,,,1,0,2000,,,
1999,#H2CS,DEUVCR,,H2CS,,,,1,0,2250,,,
2000,#MG,DEUVCR,,MG,,,,1,0,5300,,,
2002,#H2CN,DEUVCR,,H2CN,,,,1,0,1760,,,#
2005,#O2H,DEUVCR,,O2H,,,,1,0,1510,,,
2006,#NO2,DEUVCR,,NO2,,,,1,0,2520,,,
2007,#HNO,DEUVCR,,HNO,,,,1,0,1510,,,
2008,#CH3OH,DEUVCR,,CH3OH,,,,1,0,4240,,,
2009,#HNC,DEUVCR,,HNC,,,,1,0,1510,,,
2010,#HC3N,DEUVCR,,HC3N,,,,1,0,2970,,,
2011,#C2H2,DEUVCR,,C2H2,,,,1,0,2400,,,
2012,#CH3CN,DEUVCR,,CH3CN,,,,1,0,2270,,,
2013,#C2H5,DEUVCR,,C2H5,,,,1,0,2110,,,
2014,#H2CO,DEUVCR,,H2CO,,,,1,0,1760,,,
2015,#C2,DEUVCR,,C2,,,,1,0,1210,,,
2016,#NO,DEUVCR,,NO,,,,1,0,1210,,,
2017,#CH2CO,DEUVCR,,CH2CO,,,,1,0,2520,,,
2018,#C2H4,DEUVCR,,C2H4,,,,1,0,2010,,,
2019,#C2H3,DEUVCR,,C2H3,,,,1,0,1760,,,
2020,#CH3CCH,DEUVCR,,CH3CCH,,,,1,0,2470,,,
2021,#C2H5OH,DEUVCR,,C2H5OH,,,,1,0,3470,,,
2022,CL,FREEZE,,#HCL,,,,1,0,0,,,
2023,HCL,FREEZE,,#HCL,,,,1,0,0,,,
2024,CL+,FREEZE,,#HCL,,,,1,1,0,,,
2025,HCL+,FREEZE,,#HCL,,,,1,1,0,,,
2026,H2CL+,FREEZE,,#HCL,H,,,1,1,0,,,
4574,COOCH4+,FREEZE,,#HCOOCH3,,,,1,1,0,,,
4578,#SIH4,DESOH2,,SIH4,,,,1,0,3000,,,!INVENTED
4579,#SIO,DESOH2,,SIO,,,,1,0,3500,,,
4580,#SIC,DESOH2,,SIC,,,,1,0,3500,,,!INVENTED
4581,#SIC2,DESOH2,,SIC2,,,,1,0,3500,,,!INVENTED
4582,#SIC3,DESOH2,,SIC3,,,,1,0,3500,,,!INVENTED
4583,#H2SIO,DESOH2,,H2SIO,,,,1,0,3500,,,!INVENTED
4584,#SIS,DESOH2,,SIS,,,,1,0,3500,,,!INVENTED
4585,#HCL,DESOH2,,HCL,,,,1,0,3500,,,!INVENTED
4588,#SIH4,DESCR1,,SIH4,,,,1,0,3000,,,!INVENTED
4589,#SIO,DESCR1,,SIO,,,,1,0,3500,,,
4590,#SIC,DESCR1,,SIC,,,,1,0,3500,,,!INVENTED
4591,#SIC2,DESCR1,,SIC2,,,,1,0,3500,,,!INVENTED
4592,#SIC3,DESCR1,,SIC3,,,,1,0,3500,,,!INVENTED
4593,#H2SIO,DESCR1,,H2SIO,,,,1,0,3500,,,!INVENTED
4594,#SIS,DESCR1,,SIS,,,,1,0,3500,,,!INVENTED
4595,#HCL,DESCR1,,HCL,,,,1,0,3500,,,!INVENTED
4598,#SIH4,DESCR2,,SIH4,,,,1,0,3000,,,!INVENTED
4599,#SIO,DESCR2,,SIO,,,,1,0,3500,,,
4600,#SIC,DESCR2,,SIC,,,,1,0,3500,,,!INVENTED
4601,#SIC2,DESCR2,,SIC2,,,,1,0,3500,,,!INVENTED
4602,#SIC3,DESCR2,,SIC3,,,,1,0,3500,,,!INVENTED
4603,#H2SIO,DESCR2,,H2SIO,,,,1,0,3500,,,!INVENTED
4604,#SIS,DESCR2,,SIS,,,,1,0,3500,,,!INVENTED
4605,#HCL,DESCR2,,HCL,,,,1,0,3500,,,!INVENTED
4608,#SIH4,DEUVCR,,SIH4,,,,1,0,3000,,,!INVENTED
4609,#SIO,DEUVCR,,SIO,,,,1,0,3500,,,
4610,#SIC,DEUVCR,,SIC,,,,1,0,3500,,,!INVENTED
4611,#SIC2,DEUVCR,,SIC2,,,,1,0,3500,,,!INVENTED
4612,#SIC3,DEUVCR,,SIC3,,,,1,0,3500,,,!INVENTED
4613,#H2SIO,DEUVCR,,H2SIO,,,,1,0,3500,,,!INVENTED
4614,#SIS,DEUVCR,,SIS,,,,1,0,3500,,,!INVENTED
4615,#HCL,DEUVCR,,HCL,,,,1,0,3500,,,!INVENTED
4616,#HNCO,DESOH2,,HNCO,,,,1,0,3500,,,!INVENTED
4617,#HNCO,DESCR1,,HNCO,,,,1,0,3500,,,!INVENTED
4618,#HNCO,DESCR2,,HNCO,,,,1,0,3500,,,!INVENTED
4619,#HNCO,DEUVCR,,HNCO,,,,1,0,3500,,,!INVENTED
4620,C3H2,FREEZE,,#C3H2,,,,1,0,0,,,
4621,C4H,FREEZE,,#C4H,,,,1,0,0,,,
4622,#C3H2,DESOH2,,C3H2,,,,1,0,4200,,,
4623,#C4H,DESOH2,,C4H,,,,1,0,4200,,,
4624,#C3H2,DESCR1,,C3H2,,,,1,0,4200,,,
4625,#C4H,DESCR1,,C4H,,,,1,0,4200,,,
4626,#C3H2,DESCR2,,C3H2,,,,1,0,4200,,,
4627,#C4H,DESCR2,,C4H,,,,1,0,4200,,,
4628,#C3H2,DEUVCR,,C3H2,,,,1,0,4200,,,
4629,#C4H,DEUVCR,,C4H,,,,1,0,4200,,,
4634,S2,FREEZE,,#H2S2,,,,1.00E+00,0.00,0.0,,,
4635,HS20,FREEZE,,#H2S2,1.00E+00,0.00,0.0,,,
4653,H3CO+,FREEZE,,#CH3OH,,,,1.0,1,0,,,
4665,H2S2,FREEZE,,#H2S2,,,,1.00E+000,0,0,,,
4669,CH3O,FREEZE,#CH3O,1.00E+000,0,0,,,
4694,#H2S2,DESOH2,,H2S2,,,,1.00E+000,0,0,,,
4695,#H2S2,DESCR1,,H2S2,,,,1.00E+000,0,0,,,
4696,#H2S2,DESCR2,,H2S2,,,,1.00E+000,0,0,,,
4697,#H2S2,DEUVCR,,H2S2,,,,1.00E+000,0,0,,,
4698,#HS,DESOH2,,HS,,,,1.00E+000,0,0,,,
4699,#HS,DESCR1,,HS,,,,1.00E+000,0,0,,,
4700,#HS,DESCR2,,HS,,,,1.00E+000,0,0,,,
4701,#HS,DEUVCR,,HS,,,,1.00E+000,0,0,,,
4703,HS2,FREEZE,,#H2S2,,,,1.0,0,0,,
4704,HS2+,FREEZE,,#H2S2,,,,1.0,0,0,,
